Forename,Male,Female
Siti,0,100
Sri,1,99
Muhammad,100,0
Nur,14,86
Ahmad,100,0
Agus,99,1
Ni,16,84
Abdul,100,0
Mohamad,100,0
Haji,89,11
Dewi,1,99
Muhamad,99,1
Ade,55,45
Asep,98,2
Slamet,99,1
Endang,1,99
Andi,79,21
Edi,100,0
Dede,81,19
Budi,97,3
Ali,99,1
Maria,0,100
Ida,40,60
Nurul,23,77
Dedi,100,0
Wayan,50,50
Bambang,100,0
Achmad,100,0
Imam,100,0
Nurhayati,1,99
Adi,99,1
Wahyu,84,16
Dian,12,88
Made,53,47
Heri,97,3
Iwan,100,0
Moch,100,0
Ketut,47,53
Ratna,0,100
Fitri,1,99
Rudi,99,1
Umi,0,100
Indra,84,16
Hendra,98,2
Ari,84,16
Rina,0,100
Ani,1,99
Joko,100,0
Sulastri,1,99
Nyoman,44,56
Herman,100,0
Lilis,1,99
Sumiati,1,99
Ai,6,94
Rahmat,99,1
Rini,0,100
Deni,84,16
Arif,99,1
Agung,95,5
Yuli,6,94
Eni,3,97
Hadi,98,2
Wawan,99,1
Yanti,0,100
Ujang,100,0
Sumarni,1,99
Desi,1,99
Andri,94,6
Ika,1,99
Yuliana,1,99
Yeni,0,100
Nani,1,99
Titin,0,100
Sugeng,97,3
Iis,4,96
Hasan,100,0
Sutrisno,100,0
Aris,93,7
Indah,1,99
Mohammad,100,0
Ayu,0,100
Rita,1,99
Wa,29,71
Puji,12,88
Lina,0,100
Ridwan,100,0
Santi,1,99
Samsul,100,0
Linda,0,100
Aminah,0,100
Erna,1,99
Sunarti,1,99
Tuti,0,100
Susi,1,99
Usman,99,1
Ismail,100,0
Imas,5,95
Evi,1,99
Kartini,1,99
Erni,0,100
Nanang,98,2
Anita,0,100
Yani,6,94
Heni,0,100
Lia,1,99
Reni,1,99
Teguh,99,1
Yuni,1,99
Yusuf,99,1
Eti,0,100
Sari,5,95
Yudi,98,2
Fatimah,0,100
Yati,0,100
Eva,1,99
Ernawati,1,99
Dadang,100,0
Putri,1,99
Tati,1,99
Lilik,2,98
Neneng,0,100
Mulyadi,100,0
Edy,100,0
Gusti,48,52
Irwan,99,1
Maman,99,1
Putu,44,56
Novi,7,93
Devi,2,98
Irma,1,99
Abdullah,100,0
Heru,99,1
Nana,7,93
Hendri,94,6
Wahyudi,98,2
Lukman,100,0
Diana,0,100
Taufik,100,0
Rika,1,99
Akhmad,100,0
Supardi,99,1
Wiwin,8,92
Iin,1,99
Anwar,100,0
Euis,0,100
Mochamad,100,0
Aan,95,5
Halimah,1,99
Umar,99,1
Nia,0,100
Ana,1,99
Eli,13,87
Amin,99,1
Susanti,0,100
Yuyun,4,96
Nurdin,99,1
Drs,100,0
Suparman,99,1
Sumiyati,0,100
Dina,1,99
Hari,90,10
Ita,0,100
Roni,98,2
Gunawan,100,0
Bayu,98,2
Agustina,2,98
Nunung,6,94
Saiful,100,0
Nining,1,99
Zainal,100,0
Yayah,0,100
